Año,País,Ciudad,Lugar,Radiodifusora,Participantes
1956,Suiza,Lugano,Teatro Kursaal,SRG SSR,7 (dos canciones cada país)
1957,Alemania,Fráncfort del Meno,Großer Sendesaal des hessischen Rundfunks,ARD,10
1958,Países Bajos,Hilversum,Estudios AVRO,NOS,10
1959,Francia,Cannes,Palais des Festivals,RTF,11
1960,Reino Unido,Londres,Royal Festival Hall,BBC,13
1961,Francia,Cannes,Palais des Festivals,TF1,16
1962,Luxemburgo,Luxemburgo,"Grand Auditorium de RTL, Villa Louvigny",RTL,16
1963,Reino Unido,Londres,BBC Television Centre,BBC,16
1964,Dinamarca,Copenhague,Tivolis Koncertsal,DR,16
1965,Italia,Nápoles,Auditorium della RAI di Napoli,RAI,18
1966,Luxemburgo,Luxemburgo,"Grand Auditorium de RTL, Villa Louvigny",RTL,18
1967,Austria,Viena,Großer Festsaal der Wiener Hofburg,ORF,17
1968,Reino Unido,Londres,Royal Albert Hall,BBC,17
1969,España,Madrid,Teatro Real,RTVE,16
1970,Países Bajos,Ámsterdam,RAI Congrescentrum,NOS,12
1971,Irlanda,Dublín,Gaiety Theatre,RTÉ,18
1972,Reino Unido,Edimburgo,Usher Hall,BBC,18
1973,Luxemburgo,Luxemburgo,Théâtre Municipal,RTL,17
1974,Reino Unido,Brighton,Brighton Dome,BBC,17
1975,Suecia,Estocolmo,St. Eriks Mässan Älvsjö,SR,19
1976,Países Bajos,La Haya,Centro de Congresos de los Países Bajos,NOS,18
1977,Reino Unido,Londres,Centro de Congresos de Wembley,BBC,18
1978,Francia,París,Palais des congrès de Paris,TF1,20
1979,Israel,Jerusalén,Centro Internacional de Convenciones de Jerusalén,IBA,19
1980,Países Bajos,La Haya,Centro de Congresos de los Países Bajos,NOS,19
1981,Irlanda,Dublín,RDS Simmonscourt Pavilion,RTÉ,20
1982,Reino Unido,Harrogate,Centro Internacional de Convenciones de Harrogate,BBC,18
1983,Alemania,Múnich,Rudi-Sedlmayer-Halle,ARD,20
1984,Luxemburgo,Luxemburgo,Théâtre Municipal,RTL,19
1985,Suecia,Gotemburgo,Scandinavium,SVT,19
1986,Noruega,Bergen,Grieghallen,NRK,20
1987,Bélgica,Bruselas,Palais du Centenaire,RTBF,22
1988,Irlanda,Dublín,RDS Simmonscourt Pavilion,RTÉ,21
1989,Suiza,Lausana,Palais de Beaulieu,SRG SSR,22
1990,Yugoslavia,Zagreb,Sala de Conciertos Vatroslav Lisinski,JRT,22
1991,Italia,Roma,Estudios Cinecittà,RAI,22
1992,Suecia,Malmö,Malmö Isstadion,SVT,23
1993,Irlanda,Millstreet,Green Glens Arena,RTÉ,25
1994,Irlanda,Dublín,Point Theatre,RTÉ,25
1995,Irlanda,Dublín,Point Theatre,RTÉ,23
1996,Noruega,Oslo,Oslo Spektrum,NRK,23
1997,Irlanda,Dublín,Point Theatre,RTÉ,25
1998,Reino Unido,Birmingham,National Indoor Arena,BBC,25
1999,Israel,Jerusalén,Centro Internacional de Convenciones de Jerusalén,IBA,23
2000,Suecia,Estocolmo,Globen Arena,SVT,24
2001,Dinamarca,Copenhague,Parken Stadion,DR,23
2002,Estonia,Tallin,Saku Suurhall,ERR,24
2003,Letonia,Riga,Skonto Hall,LTV,26
2004,Turquía,Estambul,Abdi İpekçi Arena,TRT,36
2005,Ucrania,Kiev,Palacio de los Deportes de Kiev,NTU,39
2006,Grecia,Atenas,Olympic Indoor Hall,ERT,37
2007,Finlandia,Helsinki,Hartwall Areena,YLE,42
2008,Serbia,Belgrado,Belgrade Arena,RTS,43
2009,Rusia,Moscú,Estadio Olimpiski,C1R,42
2010,Noruega,Oslo9​,Telenor Arena,NRK,39
2011,Alemania,Düsseldorf,Esprit Arena,ARD y NDR.,43
2012,Azerbaiyán,Bakú,Baku Crystal Hall,İTV,42
2013,Suecia,Malmö,Malmö Arena,SVT,39
2014,Dinamarca,Copenhague,B&W Hallerne,DR,37
2015,Austria,Viena,Wiener Stadthalle,ORF,40
2016,Suecia,Estocolmo,Globen Arena,SVT,42
2017,Ucrania,Kiev,Centro Internacional de Exposiciones,NTU,42
2018,Portugal,Lisboa,Altice Arena,RTP,43
2019,Israel,Tel Aviv,Expo Tel Aviv,IPBC,41
2020,Edición cancelada por la pandemia de COVID-19,,,,
2021,Países Bajos,Róterdam,Rotterdam Ahoy,"AVROTROS, NPO y NOS",39
2022,Italia,Turín,Pala Alpitour,RAI,41
